bay_code,bay_sample,place_name,year,date,YYYYMMDD,trans_loc,trans_area_m2,species_common,species_scientific,species_code,death_estimate,width_mm,Width_checked,IF Function,notes,measurers
SHIN,A,Shinaku Inlet,2022,7/14/22,20220714,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,otter,57.1,57.1,YES,,Carter
SHIN,A,Shinaku Inlet,2022,7/14/22,20220714,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,otter,37.5,37.5,YES,,Carter
SHIN,A,Shinaku Inlet,2022,7/14/22,20220714,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,otter,72.1,72.1,YES,,Carter
SHIN,A,Shinaku Inlet,2022,7/14/22,20220714,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,otter,52.1,52.1,YES,,Carter
SHIN,A,Shinaku Inlet,2022,7/14/22,20220714,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,otter,55.8,55.8,YES,,Carter
SHIN,A,Shinaku Inlet,2022,7/14/22,20220714,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,otter,46.9,46.9,YES,,Carter
SHIN,A,Shinaku Inlet,2022,7/14/22,20220714,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,otter,34.5,34.5,YES,,Carter
SHIN,A,Shinaku Inlet,2022,7/14/22,20220714,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,whole,32,32,YES,,Carter
SHIN,A,Shinaku Inlet,2022,7/14/22,20220714,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,whole,45.5,45.5,YES,,Carter
SHIN,A,Shinaku Inlet,2022,7/14/22,20220714,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,whole,53,53,YES,,Carter
SHIN,A,Shinaku Inlet,2022,7/14/22,20220714,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,whole,53.7,53.7,YES,,Carter
SHIN,A,Shinaku Inlet,2022,7/14/22,20220714,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,whole,78.8,78.8,YES,,Carter
SHIN,A,Shinaku Inlet,2022,7/14/22,20220714,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,whole,49.9,49.9,YES,,Carter
SHIN,A,Shinaku Inlet,2022,7/14/22,20220714,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,whole,44.7,44.7,YES,,Carter
SHIN,A,Shinaku Inlet,2022,7/14/22,20220714,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,drill hole,68.4,68.4,YES,,Carter
SHIN,A,Shinaku Inlet,2022,7/14/22,20220714,Edge,100,Steamer clam,Protothaca staminea,CLAMST,otter,49.3,49.3,YES,,Carter
SHIN,A,Shinaku Inlet,2022,7/14/22,20220714,Edge,100,Steamer clam,Protothaca staminea,CLAMST,otter,40,40,YES,,Carter
SHIN,A,Shinaku Inlet,2022,7/14/22,20220714,Edge,100,Steamer clam,Protothaca staminea,CLAMST,otter,40.2,40.2,YES,,Carter
SHIN,A,Shinaku Inlet,2022,7/14/22,20220714,Edge,100,Steamer clam,Protothaca staminea,CLAMST,otter,30.7,30.7,YES,,Carter
SHIN,A,Shinaku Inlet,2022,7/14/22,20220714,Edge,100,Steamer clam,Protothaca staminea,CLAMST,otter,34.8,34.8,YES,,Carter
SHIN,A,Shinaku Inlet,2022,7/14/22,20220714,Edge,100,Steamer clam,Protothaca staminea,CLAMST,otter,41.1,41.1,YES,,Carter
SHIN,A,Shinaku Inlet,2022,7/14/22,20220714,Edge,100,Steamer clam,Protothaca staminea,CLAMST,otter,32.1,32.1,YES,,Carter
SHIN,A,Shinaku Inlet,2022,7/14/22,20220714,Edge,100,Steamer clam,Protothaca staminea,CLAMST,otter,33.9,33.9,YES,,Carter
SHIN,A,Shinaku Inlet,2022,7/14/22,20220714,Edge,100,Steamer clam,Protothaca staminea,CLAMST,otter,45.4,45.4,YES,,Carter
SHIN,A,Shinaku Inlet,2022,7/14/22,20220714,Edge,100,Steamer clam,Protothaca staminea,CLAMST,otter,38.9,38.9,YES,,Carter
SHIN,A,Shinaku Inlet,2022,7/14/22,20220714,Edge,100,Steamer clam,Protothaca staminea,CLAMST,otter,38.1,38.1,YES,,Carter
SHIN,A,Shinaku Inlet,2022,7/14/22,20220714,Edge,100,Steamer clam,Protothaca staminea,CLAMST,otter,35.1,35.1,YES,,Carter
SHIN,A,Shinaku Inlet,2022,7/14/22,20220714,Edge,100,Steamer clam,Protothaca staminea,CLAMST,otter,29.1,29.1,YES,,Carter
SHIN,A,Shinaku Inlet,2022,7/14/22,20220714,Edge,100,Steamer clam,Protothaca staminea,CLAMST,otter,34.1,34.1,YES,,Carter
SHIN,A,Shinaku Inlet,2022,7/14/22,20220714,Edge,100,Steamer clam,Protothaca staminea,CLAMST,otter,32,32,YES,,Carter
