bay_code,bay_sample,place_name,habitat,so_region,date,YYYYMMDD,start_time,end_time,slope,tide_height,tide_time,species_common,species_scientific,sp_code,fork_length,unmeasured,unmeasured_sm,taxon,Sex,notes,data_checking_FL,data_checking_unmeas,data_checking_unmeas_sm,same_FL?,same_unmeas?,same_unmeas_sm?
SHIN,A,Shinaku Inlet,eelgrass,mid,7/25/20,20200725,1024,1040,moderate,-0.2,1048,Threespine stickleback,Gasterosteus aculeatus,STICK3,,,1685,vertebrate,,,,,,,,
SHIN,A,Shinaku Inlet,eelgrass,mid,7/25/20,20200725,1024,1040,moderate,-0.2,1048,Threespine stickleback,Gasterosteus aculeatus,STICK3,25,,,vertebrate,,,,,,,,
SHIN,A,Shinaku Inlet,eelgrass,mid,7/25/20,20200725,1024,1040,moderate,-0.2,1048,Threespine stickleback,Gasterosteus aculeatus,STICK3,22,,,vertebrate,,,,,,,,
SHIN,A,Shinaku Inlet,eelgrass,mid,7/25/20,20200725,1024,1040,moderate,-0.2,1048,Threespine stickleback,Gasterosteus aculeatus,STICK3,22,,,vertebrate,,,,,,,,
SHIN,A,Shinaku Inlet,eelgrass,mid,7/25/20,20200725,1024,1040,moderate,-0.2,1048,Threespine stickleback,Gasterosteus aculeatus,STICK3,25,,,vertebrate,,,,,,,,
SHIN,A,Shinaku Inlet,eelgrass,mid,7/25/20,20200725,1024,1040,moderate,-0.2,1048,Threespine stickleback,Gasterosteus aculeatus,STICK3,20,,,vertebrate,,,,,,,,
SHIN,A,Shinaku Inlet,eelgrass,mid,7/25/20,20200725,1024,1040,moderate,-0.2,1048,Threespine stickleback,Gasterosteus aculeatus,STICK3,28,,,vertebrate,,,,,,,,
SHIN,A,Shinaku Inlet,eelgrass,mid,7/25/20,20200725,1024,1040,moderate,-0.2,1048,Threespine stickleback,Gasterosteus aculeatus,STICK3,22,,,vertebrate,,,,,,,,
SHIN,A,Shinaku Inlet,eelgrass,mid,7/25/20,20200725,1024,1040,moderate,-0.2,1048,Threespine stickleback,Gasterosteus aculeatus,STICK3,23,,,vertebrate,,,,,,,,
SHIN,A,Shinaku Inlet,eelgrass,mid,7/25/20,20200725,1024,1040,moderate,-0.2,1048,Threespine stickleback,Gasterosteus aculeatus,STICK3,24,,,vertebrate,,,,,,,,
SHIN,A,Shinaku Inlet,eelgrass,mid,7/25/20,20200725,1024,1040,moderate,-0.2,1048,Threespine stickleback,Gasterosteus aculeatus,STICK3,20,,,vertebrate,,,,,,,,
SHIN,A,Shinaku Inlet,eelgrass,mid,7/25/20,20200725,1024,1040,moderate,-0.2,1048,Threespine stickleback,Gasterosteus aculeatus,STICK3,24,,,vertebrate,,,,,,,,
SHIN,A,Shinaku Inlet,eelgrass,mid,7/25/20,20200725,1024,1040,moderate,-0.2,1048,Threespine stickleback,Gasterosteus aculeatus,STICK3,22,,,vertebrate,,,,,,,,
SHIN,A,Shinaku Inlet,eelgrass,mid,7/25/20,20200725,1024,1040,moderate,-0.2,1048,Threespine stickleback,Gasterosteus aculeatus,STICK3,24,,,vertebrate,,,,,,,,
SHIN,A,Shinaku Inlet,eelgrass,mid,7/25/20,20200725,1024,1040,moderate,-0.2,1048,Threespine stickleback,Gasterosteus aculeatus,STICK3,19,,,vertebrate,,,,,,,,
SHIN,A,Shinaku Inlet,eelgrass,mid,7/25/20,20200725,1024,1040,moderate,-0.2,1048,Threespine stickleback,Gasterosteus aculeatus,STICK3,22,,,vertebrate,,,,,,,,
SHIN,A,Shinaku Inlet,eelgrass,mid,7/25/20,20200725,1024,1040,moderate,-0.2,1048,Threespine stickleback,Gasterosteus aculeatus,STICK3,23,,,vertebrate,,,,,,,,
SHIN,A,Shinaku Inlet,eelgrass,mid,7/25/20,20200725,1024,1040,moderate,-0.2,1048,Threespine stickleback,Gasterosteus aculeatus,STICK3,21,,,vertebrate,,,,,,,,
SHIN,A,Shinaku Inlet,eelgrass,mid,7/25/20,20200725,1024,1040,moderate,-0.2,1048,Threespine stickleback,Gasterosteus aculeatus,STICK3,19,,,vertebrate,,,,,,,,
SHIN,A,Shinaku Inlet,eelgrass,mid,7/25/20,20200725,1024,1040,moderate,-0.2,1048,Threespine stickleback,Gasterosteus aculeatus,STICK3,22,,,vertebrate,,,,,,,,
SHIN,A,Shinaku Inlet,eelgrass,mid,7/25/20,20200725,1024,1040,moderate,-0.2,1048,Threespine stickleback,Gasterosteus aculeatus,STICK3,12,,,vertebrate,,,,,,,,
SHIN,A,Shinaku Inlet,eelgrass,mid,7/25/20,20200725,1024,1040,moderate,-0.2,1048,Threespine stickleback,Gasterosteus aculeatus,STICK3,25,,,vertebrate,,,,,,,,
